image_id,s,o,r,r_inv,label,split,d_id:s,d_id:o,d_id:so,d_inv:s,d_inv:o,d_inv:so,a_orig
2404536,hat,purse,carrying,carried by,1,calib,-0.3906250596046448,0.09375005960464478,-0.25,0.234375,0.031249940395355225,0.15624994039535522,-0.140625
2355438,baby,head,near,near,0,eval,0.578125,1.078125,0.828125,0.8906248807907104,1.59375,1.40625,2.609375
2409383,hair,ocean,next to,next to,1,calib,0.59375,0.65625,1.7968750596046448,0.484375,0.46875,2.09375,2.359375
2404536,arm,purse,carrying,carried by,1,calib,0.09375,0.421875,0.4375,0.03125,0.046875,0.140625,2.671875
2397873,bushes,bridge,under,on top of,1,calib,-0.03124988079071045,0.8750001192092896,0.6406251192092896,-0.062499940395355225,0.21875,0.078125,1.9531251192092896
2388902,leg,giraffe,behind,in front of,1,calib,-0.23437494039535522,0.21875005960464478,-0.062499940395355225,0.515625,0.65625,0.8125,0.4375000596046448
2391205,foot,sand,in front of,behind,0,eval,0.32812488079071045,1.1406248807907104,1.1249999403953552,0.484375,0.5,0.46875,1.9062498807907104
713411,buildings,motorcycle,holding,held by,0,eval,0.0625,0.0,-0.03125,0.03125,0.140625,0.140625,-1.34375
2354282,canopy,bike,riding,ridden by,1,eval,-0.015625,0.078125,0.09375,-0.10937505960464478,0.171875,0.203125,-1.25
2408823,mat,donuts,holding,held by,0,eval,-0.07812511920928955,2.0937499403953552,2.0781249403953552,-0.390625,1.140625,1.1250000596046448,0.3906249403953552
2350006,sticks,skis,carrying,carried by,1,eval,0.0,1.640625,1.640625,0.0,0.8593749403953552,0.8593749403953552,1.359375
2331876,person,paper,on top of,under,1,eval,0.546875,0.328125,0.8125,0.78125,-0.24999994039535522,0.859375,-0.046875
2386979,socks,post,riding,ridden by,0,calib,-0.1875,-0.0625,-0.125,-0.109375,-0.171875,-0.203125,-1.1875
2382358,policeman,horse,wearing,worn by,0,calib,0.140625,-0.078125,0.078125,-0.42187488079071045,-0.29687488079071045,-0.453125,-1.0
2393683,fence,racket,to the right of,to the left of,0,calib,0.484375,0.59375,0.8281249403953552,-0.5468749403953552,-0.515625,-0.21874994039535522,1.578125
2342152,giraffe,rocks,to the right of,to the left of,0,calib,0.59375,-0.25,1.265625,-1.1718750596046448,-0.8593750596046448,-0.7656250596046448,2.359375
2388902,leg,giraffe,watching,watched by,0,calib,0.07812505960464478,0.8125000596046448,0.4843750596046448,-0.015625,0.296875,0.140625,0.5156250596046448
2365119,light switch,shelf,holding,held by,0,calib,0.17187511920928955,0.078125,0.2812500596046448,-0.015624940395355225,-0.109375,-0.10937494039535522,0.2812500596046448
2402492,keyboard,girl,to the right of,to the left of,1,calib,-0.125,0.8125,0.671875,-0.5,0.765625,0.453125,1.390625
2399886,chair,spoon,near,near,1,eval,0.953125,0.0,0.953125,1.390625,0.0,1.390625,2.28125
2404539,person,bun,under,on top of,1,eval,-0.031250059604644775,-5.960464477539063e-08,-0.14062505960464478,-0.171875,0.015625,-0.21875,-0.4375000596046448
2398287,head,man,to the left of,to the right of,0,calib,-0.1875,-0.765625,-0.765625,0.25,-0.53125,-0.53125,0.96875
2404536,hat,purse,wearing,worn by,0,calib,0.031249940395355225,0.03125,0.0,0.0625,0.031249940395355225,-5.960464477539063e-08,-0.53125
2374543,hand,shirt,wearing,worn by,1,calib,-0.015625,0.09375,0.109375,0.5,0.6562500596046448,0.578125,0.328125
2318427,hand,dish,on top of,under,0,eval,1.203125,0.046875,1.265625,1.15625,0.03125,1.28125,1.609375
2317835,hair dryer,counter,carrying,carried by,0,eval,-0.015625,0.34374988079071045,0.3281249403953552,-0.0625,-0.17187505960464478,-0.265625,-0.6406250596046448
2342152,arm,fence,to the left of,to the right of,0,calib,0.109375,-0.203125,-0.1875,0.03125,0.109375,0.03125,1.296875
2343032,head,pants,wearing,worn by,1,eval,-0.3906250596046448,0.125,-0.3281250596046448,0.3125,1.015625,0.8281249403953552,-0.828125
2373169,shirt,racket,holding,held by,1,eval,0.4218749403953552,0.4999999403953552,0.3749999403953552,0.17187494039535522,0.546875,0.25,0.3593749403953552
2320260,goats,animals,riding,ridden by,0,eval,-0.1875,-0.125,-0.25,-0.21875011920928955,-0.21875011920928955,-0.37500011920928955,-1.96875
2316161,hand,fan,holding,held by,1,eval,0.0,0.078125,0.07812494039535522,0.0,0.125,0.140625,0.515625
2354282,bag,bike,on top of,under,0,eval,-0.10937511920928955,0.078125,0.75,0.12500005960464478,-0.34375,-0.15625,1.8125
2409383,hair,ocean,to the right of,to the left of,0,calib,0.3125,0.24999994039535522,0.671875,0.078125,-0.171875,-0.078125,1.140625
2401748,plate,tablecloth,to the left of,to the right of,1,eval,0.53125,0.484375,0.484375,0.5,0.28125,0.640625,1.65625
2375931,bread,glass,wearing,worn by,0,eval,0.296875,0.1875,0.328125,0.4843749403953552,0.09374994039535522,0.484375,-1.234375
2318427,beer bottle,dish,riding,ridden by,0,eval,0.265625,0.046875,0.71875,0.8593751788139343,0.10937511920928955,1.3750001192092896,0.46875
2399534,boy,skateboarder,watching,watched by,1,calib,0.5625,1.78125,2.34375,0.890625,2.15625,2.6093751192092896,3.0
2391275,bathtub,toilet,above,below,0,eval,0.21875,1.0624999403953552,0.421875,0.953125,2.078125,0.96875,0.34375
2361045,feathers,branch,under,on top of,0,calib,0.5,0.109375,0.4375000596046448,0.3125,0.15625005960464478,0.34375,1.421875
2388665,lamps,bed,on top of,under,1,eval,0.0,0.03125,0.03125,0.0,0.5625,0.5625,1.03125
2413325,post,jeans,behind,in front of,0,calib,-0.015625,0.3437499403953552,0.2812500596046448,0.078125,0.515625,0.578125,1.140625
2397873,bushes,train tracks,behind,in front of,1,calib,-0.421875,0.234375,0.046875,-0.4375,-0.0625,-0.328125,1.96875
2409219,shirt,tongs,riding,ridden by,0,eval,-0.015624940395355225,0.06250005960464478,0.031250059604644775,5.960464477539063e-08,0.0625,0.03125,0.5312500596046448
2411476,man,napkin,to the right of,to the left of,1,calib,-0.203125,0.046875,-0.109375,-0.21875,0.03125,-0.140625,1.703125
2398287,head,man,watching,watched by,1,calib,0.42187488079071045,1.3593748807907104,1.3749998807907104,0.0625,0.546875,0.5624999403953552,1.5937498807907104
2391763,chair,television,in front of,behind,1,eval,-0.171875,-0.015625,-0.109375,0.062499940395355225,0.015625,0.078125,0.109375
2343942,man,shirt,wearing,worn by,0,calib,-0.03125,0.90625,0.890625,0.17187511920928955,0.765625,0.671875,1.578125
2371219,pie,notebook,near,near,1,eval,3.078125,3.109375,3.71875,2.75,2.171875,3.046875,3.53125
1066,doll,stuffed bear,to the left of,to the right of,0,eval,-0.03125,0.0,-0.03125,-1.09375,0.015625,-1.09375,1.609375
2368472,girl,bottle,near,near,1,calib,-0.640625,1.5,0.375,0.421875,2.59375,1.5156251192092896,1.546875
2361354,woman,car,to the left of,to the right of,0,eval,-0.0625,0.109375,-0.03125,0.0,0.015625,5.960464477539063e-08,1.671875
2354282,bag,bike,riding,ridden by,1,eval,-0.4062500596046448,0.015625,-0.09375,0.04687488079071045,-0.9062500596046448,-0.78125,0.03125
2395942,head,leg,holding,held by,0,calib,0.21875,0.3750000596046448,0.37500011920928955,0.421875,0.125,0.625,0.8906250596046448
2409219,shirt,tongs,holding,held by,1,eval,5.960464477539063e-08,0.015625,5.960464477539063e-08,-0.015625,0.01562511920928955,1.1920928955078125e-07,0.84375
2363977,hand,cell phone,wearing,worn by,0,calib,1.5468749403953552,0.8593749403953552,1.4375,-0.3906249403953552,0.031250059604644775,-0.5468749403953552,1.203125
2350006,shoe,skis,carrying,carried by,1,eval,0.203125,0.546875,1.203125,0.234375,-0.03125,0.359375,0.28125
2325391,head,statue,in front of,behind,0,calib,-0.21874994039535522,-0.03124988079071045,-0.3906249403953552,-0.0625,-0.078125,-0.25,-0.5468749403953552
1082,shoes,dress,holding,held by,1,eval,0.4687500596046448,0.375,0.6249999403953552,0.03125,0.078125,0.140625,0.125
2402403,wings,camera,wearing,worn by,0,eval,0.109375,0.03125,0.140625,-0.046875,0.10937494039535522,0.09375,1.21875
2342152,head,fence,next to,next to,0,calib,-0.234375,0.625,0.40625,0.265625,1.046875,1.15625,1.453125
2342617,suv,truck,next to,next to,1,eval,-0.015625,2.1250000596046448,2.078125,-0.046875,1.859375,1.828125,1.46875
2408827,hot dog,sauce,under,on top of,1,calib,0.796875,0.3125,0.671875,0.296875,-0.65625,0.1875,2.890625
2368472,girl,bottle,in front of,behind,0,calib,0.25,0.6875000596046448,0.34375,0.921875,1.140625,0.90625,1.265625
2416539,hair,glasses,on top of,under,0,eval,0.21875,0.3125,0.359375,0.125,0.109375,0.171875,1.140625
2343665,car,taxi,near,near,1,eval,0.25,1.3906251192092896,3.140625,0.078125,0.578125,2.4218749403953552,3.234375
2408827,hot dog,sauce,behind,in front of,0,calib,-0.140625,-0.40625,-0.28125,0.328125,0.3125,0.15625,1.703125
2319140,street light,smoke,above,below,0,eval,0.0625,0.3281249403953552,0.328125,0.0,0.1875,0.15625,1.265625
2369526,people,elephant,on top of,under,0,calib,2.234375,5.25,5.578125,0.84375,2.59375,2.1406250596046448,3.84375
2386979,socks,post,behind,in front of,1,calib,-0.171875,-0.046875,-0.109375,0.109375,0.015625,0.171875,-0.296875
2373590,backpack,trees,to the left of,to the right of,0,eval,1.484375,-0.828125,0.03125,0.90625,0.03125,-0.09375,2.765625
2330666,jeans,kites,behind,in front of,0,eval,-0.21875,-0.015624940395355225,-0.1875,0.125,0.421875,0.390625,0.90625
2341526,fruit,plate,on top of,under,1,calib,2.3281249403953552,3.21875,3.296875,0.921875,2.453125,2.5156250596046448,1.640625
2318427,hand,dish,next to,next to,1,eval,2.046875,-0.03125,1.953125,1.6875,-0.03125,1.625,3.21875
2375931,bread,glass,to the left of,to the right of,1,eval,1.0,0.140625,1.8593749403953552,0.984375,0.390625,1.96875,2.359375
2376766,sign,bench,under,on top of,1,eval,0.21875,0.2656250596046448,0.34375,0.125,-0.328125,-0.25,0.703125
341,woman,van,to the right of,to the left of,0,eval,-0.0625,0.0,0.0,-0.28125,-0.40625,-0.59375,0.9375
2385924,man,shirt,to the left of,to the right of,1,calib,-0.15625,-0.171875,-0.1875,-0.0625,0.0,-0.125,0.59375
2316597,guy,bird,on top of,under,0,eval,0.0,0.9843749403953552,0.9687500596046448,0.0,0.5156250596046448,0.5,-0.9218749403953552
2370874,pen,elephant,to the left of,to the right of,0,eval,0.59375,0.65625,0.421875,0.40625,0.328125,0.296875,1.875
2374543,bench,shirt,watching,watched by,0,calib,-0.07812494039535522,-0.17187505960464478,0.18749994039535522,0.6875,0.34375,0.9531250596046448,-0.328125
2374543,hand,shirt,to the left of,to the right of,0,calib,-0.15625,-0.0625,0.03125,0.234375,0.375,0.59375,1.1875
2381256,ladder,roadway,wearing,worn by,0,calib,0.0,0.390625,0.375,0.0,0.6875,0.6875,0.1875
2363785,sandwich,plate,to the right of,to the left of,1,eval,1.21875,0.0,1.21875,1.34375,0.0,1.34375,1.390625
2354914,person,umbrella,next to,next to,0,eval,0.0,0.5625,0.5625,0.0,1.359375,1.359375,2.890625
2318442,shower,toilet,behind,in front of,1,eval,2.359375,2.171875,2.375,2.859375,1.484375,2.859375,1.515625
2370874,pen,elephant,in front of,behind,1,eval,-0.3906250596046448,-0.4218750596046448,-0.5625000596046448,0.0,-0.140625,0.375,0.8124999403953552
2346025,woman,bag,to the right of,to the left of,0,eval,0.234375,0.09375,0.453125,0.140625,1.09375,0.78125,2.203125
2343665,car,taxi,under,on top of,0,eval,0.21875,0.15625,0.828125,0.078125,0.21874994039535522,0.578125,0.09375
2369526,people,elephant,behind,in front of,1,calib,-0.3125,3.5156251192092896,2.890625,0.078125,2.703125,2.0,1.78125
2406953,umbrellas,umbrella,holding,held by,1,calib,0.015625,0.5781250596046448,1.171875,0.4843749403953552,0.5156249403953552,0.8437499403953552,0.9375
2341585,bag,shop,in front of,behind,1,eval,0.453125,-0.125,0.5,0.1875,0.0625,0.2968750596046448,2.765625
2354282,canopy,bike,above,below,0,eval,-0.046875,0.1875,0.046875,-0.015625,0.390625,0.34375,3.046875
2330002,head,mouse pad,on top of,under,1,eval,-0.21875,0.03125,-0.125,-0.140625,-0.015625,-0.125,0.6875
2393683,shirt,racket,holding,held by,1,calib,1.7968749403953552,1.6093748807907104,1.65625,1.6875000596046448,1.1875,1.515625,0.8437499403953552
2367061,rock,fence,behind,in front of,1,calib,0.0,-0.8125,-0.7968749403953552,0.0,0.109375,0.09374994039535522,0.046875
2413411,bottle,fries,above,below,1,eval,-0.125,-0.015625,-0.109375,-0.546875,-0.015625,-0.421875,-0.265625
2363931,girl,shorts,holding,held by,0,calib,-0.109375,0.0,-0.109375,-0.14062494039535522,0.0,-0.14062494039535522,-0.203125
2386698,table,lamp,in front of,behind,0,eval,-0.328125,0.0,-0.328125,-0.140625,0.0,-0.140625,0.625
2350006,shoe,skis,watching,watched by,0,eval,-0.015624940395355225,0.40625,0.90625,0.0625,-0.1875,0.0625,0.234375
2362137,man,bat,carrying,carried by,1,eval,3.109375,2.546875,3.1562500596046448,2.9843749403953552,3.890625,3.0624999403953552,2.265625
2406564,man,motorcycle,in front of,behind,0,eval,0.20312505960464478,0.3906250596046448,0.23437505960464478,0.1875,-0.4218749403953552,-0.5,0.4531250596046448
2320260,goats,animals,watching,watched by,1,eval,0.484375,0.3125,0.625,0.703125,0.265625,0.8125,0.609375
2399534,boy,skateboarder,under,on top of,0,calib,-0.18750005960464478,0.6562500596046448,0.328125,-0.26562511920928955,0.39062488079071045,0.046875,0.421875
2375066,propeller,people,under,on top of,0,eval,0.5937499403953552,-0.015625,0.6875,0.453125,0.046875,0.46875,0.125
2391763,chair,television,above,below,0,eval,-0.10937494039535522,0.0,-0.0625,0.046875,-0.03125,0.03125,-0.5
2387947,wing,cow,below,above,0,eval,0.515625,1.3124999403953552,0.75,0.734375,1.21875,1.375,0.859375
2330002,head,mouse pad,under,on top of,0,eval,-0.0625,0.015625,0.03125,-0.09374994039535522,-0.12499994039535522,-0.14062494039535522,0.171875
2399534,skate park,skateboarder,watching,watched by,1,calib,1.4375000596046448,1.875,3.421875,0.5937499403953552,0.5,1.78125,2.0
2873,store,jeans,under,on top of,0,calib,-0.21874994039535522,0.140625,0.031249940395355225,-0.5156250596046448,-0.17187505960464478,-0.953125,0.65625
2404536,arm,purse,next to,next to,0,calib,0.171875,0.078125,0.390625,0.25,0.171875,0.515625,3.46875
2376766,sign,bench,riding,ridden by,0,eval,0.15625,-0.546875,-0.421875,0.03125,-0.6250000596046448,-0.6250000596046448,-0.484375
2361354,woman,car,in front of,behind,1,eval,0.4375000596046448,0.046875059604644775,0.4375000596046448,0.062499940395355225,-0.03125,0.031249940395355225,0.8125000596046448
2318442,shower,toilet,wearing,worn by,0,eval,1.40625,0.59375,1.421875,1.3125,0.09374994039535522,1.328125,-0.4375
2411476,man,napkin,to the left of,to the right of,0,calib,0.015625,0.0,0.078125,0.171875,0.171875,0.421875,1.84375
2362137,man,bat,wearing,worn by,0,eval,1.6093749403953552,1.6562499403953552,1.6249999403953552,1.59375,2.28125,1.59375,0.3593749403953552
2405229,suit,platter,on top of,under,1,eval,0.10937494039535522,0.0625,0.21875,0.21875,-0.46875,0.03125,1.03125
2367240,bracelet,sandwich,in front of,behind,0,calib,0.5625,0.1875,0.546875,0.90625,-0.18749988079071045,0.53125,1.6875
2341585,bag,shop,holding,held by,0,eval,0.296875,-5.960464477539063e-08,0.25,0.4062499403953552,0.453125,0.375,0.46875
2361045,feathers,branch,to the right of,to the left of,1,calib,0.203125,0.171875,0.484375,-0.0625,0.1875,0.203125,1.984375
2342152,giraffe,rocks,in front of,behind,1,calib,1.984375,0.171875,2.296875,2.1406249403953552,0.09375,2.359375,2.453125
2346025,umbrella,bag,behind,in front of,0,eval,-0.5625,-0.53125,-0.609375,0.28125,0.0625,0.5625,0.796875
2384672,guy,shirt,below,above,0,eval,-0.171875,0.10937505960464478,-0.015625059604644775,0.515625,0.140625,0.5000000596046448,0.5625
2341526,fruit,plate,next to,next to,0,calib,2.546875,4.234375,4.25,1.578125,3.265625,3.390625,2.765625
2341576,monitor,screen,next to,next to,0,eval,0.21875,0.078125,0.21875005960464478,-0.078125,-0.4843750596046448,-0.18750005960464478,0.828125
2393461,jeans,woman,to the right of,to the left of,0,eval,0.640625,0.078125,0.328125,0.203125,0.40625,0.4375,2.9375
2367922,fence,rocks,to the right of,to the left of,1,eval,0.03125,-0.296875,0.0,-0.234375,-0.546875,-0.4375,1.625
2360431,spoon,lid,behind,in front of,0,calib,-0.3125,-0.17187511920928955,-0.40625,-0.17187488079071045,0.09375,-0.17187488079071045,1.71875
2391385,trees,cow,watching,watched by,0,eval,0.3125,1.109375,1.078125,0.2968749403953552,0.9062500596046448,0.7031249403953552,-0.5
2400343,shelf,television,in front of,behind,1,calib,0.03125011920928955,-0.39062488079071045,-0.265625,0.0625,-0.578125,-0.390625,0.5781250596046448
2373169,shirt,racket,on top of,under,0,eval,0.109375,0.28125,0.07812494039535522,0.0625,0.265625,0.09375,0.34375
2406953,branches,umbrella,to the left of,to the right of,0,calib,0.71875,-0.15625,0.1875,1.03125,0.859375,1.234375,2.703125
2414858,hair,radio,carrying,carried by,1,calib,-0.5468748807907104,0.0,-0.5468748807907104,0.28125,0.0,0.28125,-1.9218748807907104
2395942,head,leg,on top of,under,1,calib,0.17187505960464478,0.23437505960464478,0.3281250596046448,0.46875,0.28125,0.4531249403953552,0.8125
2408823,mat,donuts,above,below,1,eval,-0.2968750596046448,1.5781249403953552,1.5781249403953552,-0.265625,1.34375,1.328125,0.9843749403953552
2360401,utensils,cup,to the left of,to the right of,1,calib,0.65625,1.234375,1.40625,0.375,1.203125,1.2343748807907104,3.0
2406564,tiger,motorcycle,watching,watched by,1,eval,0.015624940395355225,1.390625,1.375,0.20312505960464478,0.9062500596046448,0.9218750596046448,-0.21875
2399886,chair,spoon,behind,in front of,0,eval,0.4687499403953552,0.0,0.4687499403953552,0.734375,0.0,0.734375,0.7656249403953552
2322017,ski,goggles,to the left of,to the right of,1,eval,0.125,0.203125,0.40625,0.375,0.609375,0.859375,1.703125
2327321,umbrella,purse,holding,held by,1,eval,0.5624999403953552,0.3124999403953552,0.2968749403953552,1.5156249403953552,-0.3125,0.640625,0.5312499403953552
2391600,hand,plate,on top of,under,1,calib,0.125,0.46875,0.65625,0.171875,-0.26562511920928955,-0.09375011920928955,2.09375
2406953,umbrellas,umbrella,to the right of,to the left of,0,calib,0.8125,0.265625,0.6562499403953552,0.203125,0.09375,0.078125,1.4375
2341576,monitor,screen,to the right of,to the left of,1,eval,0.3437499403953552,0.03125,0.3593749403953552,0.265625,-0.5,0.25,0.6874999403953552
2355438,baby,head,on top of,under,1,eval,-0.046875,0.140625,0.18749994039535522,-0.171875,-0.0625,0.09375,-0.421875
2375066,propeller,people,above,below,1,eval,0.78125,-0.078125,0.859375,0.4843750596046448,0.046875,0.5468749403953552,1.375
2354282,guy,bike,next to,next to,0,eval,1.875,0.546875,1.765625,1.5,0.03125,1.2031248807907104,3.171875
2414858,hair,radio,above,below,0,calib,0.28125,0.0,0.28125,0.296875,0.0,0.296875,0.375
2315601,banana,man,in front of,behind,0,calib,-0.015625,0.890625,0.8125,0.031250059604644775,0.06250005960464478,0.015625,1.640625
2367061,rock,fence,carrying,carried by,0,calib,0.0,-0.203125,-0.140625,0.0,-0.4375000596046448,-0.3906250596046448,-0.546875
2387036,chair,tank top,wearing,worn by,1,eval,0.1875,0.34375,0.28125,0.046875,-0.140625,-0.15625,-1.015625
2406564,shorts,motorcycle,watching,watched by,1,eval,0.5000000596046448,1.9218750596046448,1.9218750596046448,0.3906249403953552,1.015625,1.0000000596046448,1.171875
2408823,donut,donuts,wearing,worn by,0,eval,0.10937505960464478,0.6093750596046448,0.6875000596046448,0.09374988079071045,1.015625,1.2499999403953552,-0.8281249403953552
2349444,phone,pants,wearing,worn by,1,eval,0.015625,-0.3125,-0.359375,5.960464477539063e-08,0.12500005960464478,0.0625,-1.359375
2384254,bushes,umbrella,holding,held by,0,eval,-0.1875,0.15625,0.046875,-0.109375,0.125,0.0625,-1.25
2372730,banana,gloves,wearing,worn by,1,calib,0.015625,-0.07812494039535522,-0.07812505960464478,-0.09375,-0.15625,-0.1875,-0.71875
2349444,phone,pants,holding,held by,0,eval,0.015624940395355225,-0.21875,-0.171875,0.07812494039535522,-0.06250005960464478,0.015625059604644775,-0.96875
2400343,shelf,television,wearing,worn by,0,calib,0.06250011920928955,0.046875059604644775,0.12500005960464478,0.0625,-0.21875,-0.125,-0.6406249403953552
2391600,hand,plate,to the left of,to the right of,0,calib,0.046875,0.296875,0.390625,0.09375,0.109375,0.15625,1.59375
2360431,spoon,lid,below,above,1,calib,0.0,0.0,0.046875,0.28125,0.125,0.1875,1.546875
2368037,hair,woman,behind,in front of,1,eval,-0.15625,0.1875,0.203125,0.28125,0.71875,0.71875,1.234375
2408823,donut,donuts,above,below,1,eval,0.1875,0.4843750596046448,0.5625,0.140625,0.515625,0.6874999403953552,0.03125
2407415,car,driver,above,below,0,calib,0.0,0.0625,0.0625,-0.01562511920928955,0.01562488079071045,0.015625,0.03125
2411655,wire,traffic light,below,above,0,calib,-0.15625,0.390625,0.390625,0.078125,0.265625,0.203125,1.21875
2371219,pie,notebook,below,above,0,eval,1.1250000596046448,1.453125,1.484375,0.7031250596046448,1.28125,1.140625,0.9843750596046448
2360401,utensils,cup,under,on top of,0,calib,-0.25,-0.4375,0.390625,0.23437488079071045,-0.7187501192092896,0.24999988079071045,1.5625
